기준_년분기_코드,상권_구분_코드_명,상권_코드_명,서비스업종,평균매출,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,초년_유동인구_수,중년_유동인구_수,노년_유동인구_수,초년_직장_인구_수,중년_직장_인구_수,노년_직장_인구_수
20241,골목상권,4.19민주묘지역 2번,요식업,579173781.5,75958570.5,63868159.0,82605425.75,58114912.75,82259599.25,115872476.75,100494637.5,1021175.0,429007.0,592167.0,164.0,107.0,57.0,309395.0,285963.0,425816.0,4.0,29.0,131.0
20242,골목상권,4.19민주묘지역 2번,요식업,647617846.2,66401486.4,84695003.2,95442918.2,68702528.0,88314797.2,115177926.4,128883186.8,1065757.0,428929.0,636828.0,164.0,107.0,57.0,345370.0,281203.0,439184.0,4.0,29.0,131.0
20243,골목상권,4.19민주묘지역 2번,요식업,578556573.8,55572690.0,74137184.6,79405127.2,58717299.4,79476430.4,104735030.6,126512811.6,981924.0,406884.0,575040.0,164.0,107.0,57.0,284759.0,274230.0,422935.0,4.0,29.0,131.0
20244,골목상권,4.19민주묘지역 2번,요식업,483794629.8,46717089.2,73651591.2,74107678.2,47357371.2,59219219.4,94167080.8,88574599.8,951406.0,376338.0,575067.0,239.0,155.0,84.0,295155.0,261708.0,394544.0,5.0,42.0,192.0
20241,발달상권,63빌딩,요식업,1214889193.75,171830451.75,198151336.75,201304687.5,203503992.0,177767380.5,151133912.5,111197432.75,62134.0,31901.0,30233.0,8016.0,5688.0,2328.0,14542.0,24672.0,22923.0,1492.0,4934.0,1590.0
20242,발달상권,63빌딩,요식업,1231445883.25,168938791.75,167180203.0,176442968.5,190318521.0,169499584.75,245886458.0,113179356.25,60141.0,30666.0,29475.0,8016.0,5688.0,2328.0,14747.0,23549.0,21845.0,1492.0,4934.0,1590.0
20243,발달상권,63빌딩,요식업,1100322963.0,185334544.5,187810000.25,179561295.75,162514779.25,166411517.0,122816821.5,95874004.75,61037.0,31213.0,29824.0,8016.0,5688.0,2328.0,14705.0,23892.0,22440.0,1492.0,4934.0,1590.0
20244,발달상권,63빌딩,요식업,1146134297.5,186877665.25,182259318.75,180396597.0,159837698.75,180981471.75,141957834.0,113823712.0,65345.0,33906.0,31439.0,8821.0,6260.0,2561.0,15605.0,25932.0,23807.0,1642.0,5430.0,1749.0
20241,발달상권,DMC(디지털미디어시티),요식업,2428468389.888889,375112838.1111111,450193525.7777778,460418016.7777778,482690003.3333333,376460027.7777778,167736467.33333334,115857510.77777778,504301.0,249612.0,254689.0,12628.0,7785.0,4843.0,152043.0,241133.0,111127.0,2686.0,8069.0,1873.0
20242,발달상권,DMC(디지털미디어시티),요식업,2446718792.7777777,409171944.8888889,464814386.3333333,395805973.3333333,454792969.6666667,419194351.8888889,180852062.44444445,122087104.22222222,528043.0,258370.0,269673.0,12628.0,7785.0,4843.0,163321.0,250679.0,114044.0,2686.0,8069.0,1873.0
20243,발달상권,DMC(디지털미디어시티),요식업,2486657030.2222223,431090890.8888889,423538736.0,446418438.5555556,455597909.0,418791349.4444444,186539189.8888889,124680516.44444443,524091.0,254300.0,269791.0,12628.0,7785.0,4843.0,159571.0,247929.0,116593.0,2686.0,8069.0,1873.0
20244,발달상권,DMC(디지털미디어시티),요식업,2575102509.0,444172815.3333333,484439515.1111111,430423785.2222222,465707638.4444444,435889124.3333333,188007389.1111111,126462241.44444443,511896.0,248872.0,263025.0,15261.0,9419.0,5842.0,154700.0,242289.0,114906.0,3243.0,9784.0,2234.0
20241,골목상권,GS강동자이아파트,요식업,231075045.0,29657863.2,27610049.4,29908165.6,29086296.8,35169300.2,44524025.6,35119344.2,829493.0,390022.0,439469.0,282.0,144.0,138.0,247011.0,237406.0,345076.0,40.0,119.0,123.0
20242,골목상권,GS강동자이아파트,요식업,270938516.6,31473925.8,33004253.6,41478786.6,33448776.0,44004312.6,42188138.0,45340324.0,804356.0,374351.0,430006.0,282.0,144.0,138.0,236673.0,227827.0,339855.0,40.0,119.0,123.0
20243,골목상권,GS강동자이아파트,요식업,291403206.4,39995638.8,34149036.6,37979725.6,37204602.4,45124497.6,49668284.0,47281421.4,1124589.0,523740.0,600849.0,282.0,144.0,138.0,329263.0,330040.0,465285.0,40.0,119.0,123.0
20244,골목상권,GS강동자이아파트,요식업,263392673.2,30850805.0,38063753.4,35862357.2,33212687.4,38284002.2,45285427.6,41833640.4,1156763.0,534202.0,622560.0,405.0,208.0,197.0,345574.0,343708.0,467479.0,51.0,176.0,178.0
20241,골목상권,G타워,요식업,95679426.0,13802201.0,17917251.25,18654440.0,21016933.0,14880514.25,5425824.0,3982262.5,343585.0,197255.0,146329.0,2711.0,1778.0,933.0,111506.0,163780.0,68300.0,572.0,1602.0,537.0
20242,골목상권,G타워,요식업,103110282.5,16313326.25,19845394.5,17819480.5,21447748.75,19171855.25,5726943.0,2785534.25,339421.0,193887.0,145534.0,2711.0,1778.0,933.0,109803.0,162436.0,67180.0,572.0,1602.0,537.0
20243,골목상권,G타워,요식업,90506168.0,17032136.75,13512119.75,19070645.75,15147844.75,17757373.0,4810909.5,3175138.5,345795.0,196897.0,148899.0,2711.0,1778.0,933.0,109752.0,167574.0,68469.0,572.0,1602.0,537.0
20244,골목상권,G타워,요식업,102044816.5,17393832.5,17360555.25,19026602.5,18962182.75,20871342.5,5116512.0,3313789.0,347534.0,196737.0,150796.0,4010.0,2631.0,1379.0,111666.0,167247.0,68622.0,846.0,2371.0,793.0
20241,골목상권,KB국민은행 망원동지점,요식업,559831708.0,72737968.6,64718224.0,77508758.0,72404612.4,96846162.2,107311055.8,68304927.0,1025392.0,451428.0,573964.0,736.0,445.0,291.0,290341.0,361303.0,373747.0,90.0,297.0,349.0
20242,골목상권,KB국민은행 망원동지점,요식업,575069929.0,71860791.8,75854499.4,82825712.2,70062066.8,89015790.8,110274831.0,75176237.0,838366.0,368042.0,470324.0,736.0,445.0,291.0,232902.0,296735.0,308729.0,90.0,297.0,349.0
20243,골목상권,KB국민은행 망원동지점,요식업,580195826.0,72848930.8,74022049.0,79794703.6,79668949.4,93628486.4,101936005.4,78296701.4,843938.0,369250.0,474688.0,736.0,445.0,291.0,238215.0,296608.0,309117.0,90.0,297.0,349.0
20244,골목상권,KB국민은행 망원동지점,요식업,620866066.0,74761120.2,88691277.8,80314632.8,78249261.6,97165288.6,118226497.2,83457987.8,785554.0,349041.0,436513.0,963.0,583.0,380.0,224396.0,278344.0,282814.0,120.0,387.0,456.0
20241,골목상권,KB국민은행 서강지점,요식업,442500085.0,50778230.5,64722008.5,74786054.5,71695760.5,63414328.0,70786436.0,46317267.0,220862.0,101898.0,118963.0,219.0,125.0,94.0,65261.0,76213.0,79388.0,26.0,124.0,69.0
20242,골목상권,KB국민은행 서강지점,요식업,473884579.5,63579767.5,65500281.0,60974721.5,79937070.0,77611371.0,69702627.5,56578741.0,207787.0,94390.0,113397.0,219.0,125.0,94.0,66361.0,70438.0,70990.0,26.0,124.0,69.0
20243,골목상권,KB국민은행 서강지점,요식업,453047703.0,62745521.0,70128647.0,70907562.5,63915838.0,62840024.0,65291750.0,57218360.5,206658.0,92531.0,114127.0,219.0,125.0,94.0,60788.0,70844.0,75023.0,26.0,124.0,69.0
20244,골목상권,KB국민은행 서강지점,요식업,456324701.5,70517512.5,72821739.5,58776535.5,71627507.5,77247115.5,56700394.0,48633897.0,215168.0,98055.0,117113.0,429.0,244.0,185.0,65455.0,75127.0,74587.0,54.0,238.0,137.0
20241,골목상권,KB국민은행 종암동지점,요식업,421461215.0,53395125.0,68620701.0,79078043.0,59684470.0,63239477.0,52257487.0,45185912.0,189916.0,91375.0,98541.0,2171.0,1143.0,1028.0,66298.0,49683.0,73937.0,190.0,1315.0,666.0
20242,골목상권,KB국민은행 종암동지점,요식업,451522868.0,95426682.0,81419651.0,60592319.0,49819029.0,54325388.0,68903163.0,41036636.0,182850.0,87170.0,95681.0,2171.0,1143.0,1028.0,68975.0,46517.0,67358.0,190.0,1315.0,666.0
20243,골목상권,KB국민은행 종암동지점,요식업,432292003.0,49578219.0,49214088.0,48540870.0,88500121.0,90132169.0,57712321.0,48614215.0,174714.0,83264.0,91450.0,2171.0,1143.0,1028.0,62055.0,46161.0,66497.0,190.0,1315.0,666.0
20244,골목상권,KB국민은행 종암동지점,요식업,454266997.0,51920331.0,82565127.0,57079773.0,60709802.0,64720884.0,84169171.0,53101909.0,184909.0,87902.0,97007.0,3150.0,1662.0,1488.0,68613.0,47636.0,68659.0,270.0,1921.0,959.0
20241,골목상권,KB국민은행 중화동지점,요식업,461159229.0,63480341.0,69533088.0,73500262.0,64929328.0,68943624.0,81530310.0,39242276.0,577728.0,274304.0,303424.0,51.0,34.0,17.0,145226.0,172882.0,259617.0,2.0,20.0,29.0
20242,골목상권,KB국민은행 중화동지점,요식업,494193299.0,81453723.0,75707143.0,80042367.0,73051774.0,84636123.0,80526758.0,18775411.0,552256.0,262587.0,289669.0,51.0,34.0,17.0,137006.0,166406.0,248846.0,2.0,20.0,29.0
20243,골목상권,KB국민은행 중화동지점,요식업,530649293.0,100726068.0,87033277.0,83170462.0,74083110.0,85806291.0,78197033.0,21633052.0,554400.0,263070.0,291330.0,51.0,34.0,17.0,137039.0,168413.0,248950.0,2.0,20.0,29.0
20244,골목상권,KB국민은행 중화동지점,요식업,512394652.0,76183718.0,79181970.0,84954712.0,73703753.0,95964294.0,89332349.0,13073856.0,558987.0,267566.0,291421.0,28.0,21.0,7.0,135019.0,172618.0,251351.0,0.0,10.0,18.0
20241,골목상권,KC대학교,요식업,131072548.0,12217444.0,15846537.0,19433114.0,13817889.0,15415298.0,28935570.0,25406696.0,204788.0,99062.0,105727.0,196.0,127.0,69.0,60998.0,76713.0,67078.0,26.0,103.0,67.0
20242,골목상권,KC대학교,요식업,45261938.0,5736701.0,12676015.0,7154933.0,2730172.0,4382245.0,5663816.0,6918056.0,287723.0,137912.0,149813.0,196.0,127.0,69.0,86466.0,104330.0,96927.0,26.0,103.0,67.0
20243,골목상권,KC대학교,요식업,4402773.0,406944.0,1263350.0,1305865.0,846566.0,519310.0,0.0,60738.0,205868.0,98503.0,107365.0,196.0,127.0,69.0,57425.0,76669.0,71775.0,26.0,103.0,67.0
20244,골목상권,KC대학교,요식업,8427635.0,1130361.0,1183984.5,1252781.5,895841.5,2601413.0,1338958.5,24295.0,213728.0,100951.0,112776.0,335.0,216.0,119.0,63201.0,77534.0,72992.0,46.0,177.0,112.0
20241,골목상권,KT&G 북부지사,요식업,224289318.3333333,4780417.333333333,28729486.33333333,29347331.0,32468762.0,36752393.66666666,46290903.0,45920025.0,140431.0,67801.0,72629.0,26.0,19.0,7.0,34476.0,36830.0,69125.0,2.0,10.0,14.0
20242,골목상권,KT&G 북부지사,요식업,303915063.0,2884707.0,35282289.666666664,43451876.333333336,40846355.66666666,48371991.66666666,64556404.66666666,68521438.0,211336.0,104868.0,106468.0,26.0,19.0,7.0,56667.0,55334.0,99334.0,2.0,10.0,14.0
20243,골목상권,KT&G 북부지사,요식업,45496286.0,3346950.6666666665,6160125.333333333,9403557.666666666,6159787.333333333,5334841.0,7338552.0,7752472.0,186847.0,92601.0,94245.0,26.0,19.0,7.0,48057.0,51227.0,87563.0,2.0,10.0,14.0
